 valeurs;temps;profondeur;acces; noeuds ajoutés;feuille;taille;eclatements 
 89999820; 15.256; 4;  1451238; 22675;  1428568; 1451243; 1451238;
 90999818; 15.416; 4;  1467363; 22927;  1444441; 1467368; 1467363;
 91999816; 15.586; 4;  1483488; 23179;  1460314; 1483493; 1483488;
 92999814; 15.756; 4;  1499613; 23431;  1476187; 1499618; 1499613;
 93999812; 15.926; 4;  1515738; 23683;  1492060; 1515743; 1515738;
 94999810; 16.096; 4;  1531863; 23935;  1507933; 1531868; 1531863;
 95999808; 16.256; 4;  1547988; 24187;  1523806; 1547993; 1547988;
 96999806; 16.426; 4;  1564112; 24438;  1539679; 1564117; 1564112;
 97999804; 16.596; 4;  1580237; 24690;  1555552; 1580242; 1580237;
 98999802; 16.766; 4;  1596362; 24942;  1571425; 1596367; 1596362;
 99999800; 16.927; 4;  1612488; 25195;  1587298; 1612493; 1612488;
 100999798; 17.097; 4;  1628613; 25447;  1603171; 1628618; 1628613;
 101999796; 17.266; 4;  1644738; 25699;  1619044; 1644743; 1644738;
 102999794; 17.438; 4;  1660863; 25951;  1634917; 1660868; 1660863;
 103999792; 17.596; 4;  1676988; 26203;  1650790; 1676993; 1676988;
 104999790; 17.767; 4;  1693112; 26454;  1666663; 1693117; 1693112;
 105999788; 17.938; 4;  1709237; 26706;  1682536; 1709242; 1709237;
 106999786; 18.097; 4;  1725362; 26958;  1698409; 1725367; 1725362;
 107999784; 18.267; 4;  1741487; 27210;  1714282; 1741492; 1741487;
 108999782; 18.443; 4;  1757612; 27462;  1730155; 1757617; 1757612;
 109999780; 18.607; 4;  1773737; 27714;  1746028; 1773742; 1773737;
 110999778; 18.777; 4;  1789862; 27966;  1761901; 1789867; 1789862;
 111999776; 18.945; 4;  1805987; 28218;  1777774; 1805992; 1805987;
 112999774; 19.107; 4;  1822111; 28469;  1793647; 1822116; 1822111;
 113999772; 19.277; 4;  1838236; 28721;  1809520; 1838241; 1838236;
 114999770; 19.447; 4;  1854361; 28973;  1825393; 1854366; 1854361;
 115999768; 19.607; 4;  1870487; 29226;  1841266; 1870492; 1870487;
 116999766; 19.777; 4;  1886612; 29478;  1857139; 1886617; 1886612;
 117999764; 19.947; 4;  1902737; 29730;  1873012; 1902742; 1902737;
 118999762; 20.117; 4;  1918862; 29982;  1888885; 1918867; 1918862;
 119999760; 20.288; 4;  1934987; 30234;  1904758; 1934992; 1934987;
